Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Tawa, J; Montoya, AK",,,,"Tawa, John; Montoya, Amanda K.",,,Construals of self and group: How racial nominalism can promote adaptive intergroup outcomes for interdependent selves,GROUP PROCESSES & INTERGROUP RELATIONS,,,,,,,,,,,,"Previous research has found that interdependent self-construals are related to poorer intergroup outcomes. Here we examine interdependent self-construal specifically in relation to comfort in contexts in which people are a numeric minority (i.e., outgroup comfort), and also examine the moderating roles of racial nominalism and racial essentialism. Among a racially diverse sample (N = 577), interdependent self-construals were related to more outgroup comfort. Two dimensions of racial nominalism-humanist and sociopolitical-were established with exploratory and confirmatory factor analyses. Humanist, sociopolitical, and essentialist beliefs about race were examined as moderators of the interdependent self-construal and outgroup comfort relationship. Among participants of color with higher sociopolitical beliefs, and unexpectedly among participants with higher essentialist beliefs, interdependent self-construal was more positively related to outgroup comfort. Findings are discussed in relation to theory on self- and group-level construals, and in relation to the role of multicultural education for fostering sociopolitical beliefs about race.",,,,,"Montoya, Amanda Kay/AAR-4439-2021","Montoya, Amanda Kay/0000-0001-9316-8184",,,,,,,,,,,,,1368-4302,1461-7188,,,,OCT,2019,22,7,,,,,1002,1020,,10.1177/1368430218784652,http://dx.doi.org/10.1177/1368430218784652,,,,,,,,,,,,,WOS:000489250300006,View Full Record in Web of Science
J,"Wilton, LS; Apfelbaum, EP; Good, JJ",,,,"Wilton, Leigh S.; Apfelbaum, Evan P.; Good, Jessica J.",,,Valuing Differences and Reinforcing Them: Multiculturalism Increases Race Essentialism,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,,,"A substantial body of research on diversity philosophies has shown that multiculturalism (i.e., emphasizing and valuing cultural/ethnic differences) is a more effective way to promote equality and reduce bias than color blindness (i.e., deemphasizing cultural/ethnic differences in lieu of similarities). However, across two experiments, we present evidence for an unexpectedly negative outcome of multiculturalism: increased belief in race essentialism, or the notion that racial group differences are valid, biologically based, and immutable. Study 1 (N = 165) shows that participants exposed to multiculturalism expressed greater race essentialist beliefs compared to those exposed to color blindness. Study 2 (N = 150) replicates this effect and also finds that exposure to multiculturalism, compared to color blindness, decreased participants' belief that racial equality is a problem. These findings raise the ironic possibility that well-intentioned efforts to portray the value of differences may reinforce the belief that fixed, biological characteristics underpin them.",,,,,,,,,,,,,,,,,,,1948-5506,1948-5514,,,,JUL,2019,10,5,,,,,681,689,,10.1177/1948550618780728,http://dx.doi.org/10.1177/1948550618780728,,,,,,,,,,,,,WOS:000469838500011,View Full Record in Web of Science
S,"Diesendruck, G",,"Rhodes, M",,"Diesendruck, Gil",,,Why do children essentialize social groups?,DEVELOPMENT OF SOCIAL ESSENTIALISM,Advances in Child Development and Behavior,,,,,,,,,,,"The tendency to essentialize social groups is universal, and arises early in development. This tendency is associated with negative intergroup attitudes and behaviors, and has thus encouraged the search for remedies for the emergence of essentialism. In this vein, great attention has been devoted to uncovering the cognitive foundations of essentialism. In this chapter, I suggest that attention should also be turned toward the motivational foundations of essentialism. I propose that considerations of power and group identity, but especially a need to belong, may encourage children's essentialization of social groups. Namely, from a young age, children are keen to feel members of a group, and that their membership is secure and exclusive. Essentialism is the conceptual gadget that satisfies these feelings. And to the extent that groups are defined by what they do, this motivated essentialism also impels children to be adamant about the maintenance of unique group behaviors.",,,,,,,,,,,,,,,,,,,0065-2407,,978-0-12-820086-5,,,,2020,59,,,,,,31,64,,10.1016/bs.acdb.2020.05.002,http://dx.doi.org/10.1016/bs.acdb.2020.05.002,,,,,,,,32564795,,,,,WOS:000609245800003,View Full Record in Web of Science
J,"Chen, JM; Ratliff, KA",,,,"Chen, Jacqueline M.; Ratliff, Kate A.",,,PSYCHOLOGICAL ESSENTIALISM PREDICTS INTERGROUP BIAS,SOCIAL COGNITION,,,,,,,,,,,,"Prejudice against social groups is a universal societal problem. This research investigated the role of psychological essentialist beliefs in predicting individual variation in prejudice levels in two large national samples. Study 1 (N = 583) showed that people with stronger essentialist beliefs had higher levels of implicit and explicit prejudice against African Americans. Study 2 (N = 3110) examined a mechanism by which people higher in essentialism form stronger intergroup attitudes using an experimental attitude induction. We demonstrated that essentialism facilitates explicit and, to some extent, implicit prejudice formation toward a novel group after brief exposure to positively or negatively valenced information about individuals belonging to that group. Our findings illustrate the importance of integrating individual difference and social cognitive approaches to understanding prejudice formation and maintenance.",,,,,,,,,,,,,,,,,,,0278-016X,,,,,JUN,2018,36,3,,,,,301,323,,,,,,,,,,,,,,,,WOS:000433490800002,View Full Record in Web of Science
J,"Gaither, SE; Chen, JM; Pauker, K; Sommers, SR",,,,"Gaither, Sarah E.; Chen, Jacqueline M.; Pauker, Kristin; Sommers, Samuel R.",,,At face value: Psychological outcomes differ for real vs. computer-generated multiracial faces,JOURNAL OF SOCIAL PSYCHOLOGY,,,,,,,,,,,,"Multiracial research emphasizes hypodescent categorizations and relies on computer-generated stimuli. Four experiments showed that real biracial faces in a 2-Choice categorization task (White, Black) elicited hypodescent more than computer-generated faces. Additionally, Experiment 2 showed a 2-Choice categorization task with real biracial faces increased racial essentialism more than a 3-Choice categorization task. Experiment 3 showed that mere exposure to real biracial faces did not increase essentialism. Finally, Experiments 4a and 4b replicated hypodescent outcomes when comparing real biracial faces to computer-generated versions of those same faces. In sum, these findings initiate a discussion surrounding the methodology of multiracial categorizations.",,,,,"Pauker, Kristin/C-2453-2009","Pauker, Kristin/0000-0002-0848-5159",,,,,,,,,,,,,0022-4545,1940-1183,,,,SEP 3,2019,159,5,,,,,592,610,,10.1080/00224545.2018.1538929,http://dx.doi.org/10.1080/00224545.2018.1538929,,,,,,,,30376420,,,,,WOS:000482288800007,View Full Record in Web of Science
S,"Ritchie, K; Knobe, J",,"Rhodes, M",,"Ritchie, Katherine; Knobe, Joshua",,,Kindhood and essentialism: Evidence from language,DEVELOPMENT OF SOCIAL ESSENTIALISM,Advances in Child Development and Behavior,,,,,,,,,,,"A large body of existing research suggests that people think very differently about categories that are seen as kinds (e.g., women) and categories that are not seen as kinds (e.g., people hanging out in the park right now). Drawing on work in linguistics, we suggest that people represent these two sorts of categories using fundamentally different representational formats. Categories that are not seen as kinds are simply represented as collections of individuals. By contrast, when it comes to kinds, people have two distinct representations: a representation of a collection of individual people and a representation of the kind itself. The distinction between these two representational formats helps to shed light on otherwise puzzling findings about stereotyping and essentialism. Stereotyping appears to involve a representation of a collection of people, while essentialism involves a representation of a kind itself.",,,,,,,,,,,,,,,,,,,0065-2407,,978-0-12-820086-5,,,,2020,59,,,,,,133,164,,10.1016/bs.acdb.2020.05.005,http://dx.doi.org/10.1016/bs.acdb.2020.05.005,,,,,,,,32564792,,,,,WOS:000609245800006,View Full Record in Web of Science
S,"Mandalaywala, TM",,"Rhodes, M",,"Mandalaywala, Tara M.",,,Does essentialism lead to racial prejudice? It is not so Black and White,DEVELOPMENT OF SOCIAL ESSENTIALISM,Advances in Child Development and Behavior,,,,,,,,,,,"Over half a century ago, psychologists hypothesized that social essentialism, an intuitive theory comprising the beliefs that social categories reflect naturally occurring distinctions and that category members share an underlying and fundamental essence, lays the foundation for prejudice. In the intervening decades, research has shown that although essentialism sometimes leads to prejudicial beliefs, attitudes, and behaviors, it does not always, sometimes even leading to decreased prejudice toward stigmatized groups. The relation between essentialism and prejudice is clearly complex, but this review proposes four questions that will help clarify how and when essentialism leads to prejudice: (1) What precisely is essentialism and how might a more nuanced understanding of its components and structure shed light on the mechanisms by which essentialist beliefs contribute to prejudice?; (2) Do essentialist beliefs orient group-based prejudice toward out-groups or toward stigmatized groups, and what are the consequences of essentialist beliefs among those with minoritized identities?; (3) Do essentialist beliefs engender group-based prejudice directly, or must essentialist beliefs interact with additional information or belief systems to lead to negative consequences?; and (4) Do essentialist beliefs lay a foundation for group-based prejudice to develop, or is essentialism strategically invoked to justify existing prejudice? By posing these questions, describing what is currently known about each, and proposing future lines of inquiry that focus on the importance of including participants from a diverse set of backgrounds and across developmental periods, this review aims to stimulate research studies best designed to fill the gaps in our knowledge. By understanding how and when essentialism contributes to prejudice, we will be better equipped to use this early-emerging, but malleable, aspect of cognition to decrease prejudice and create a more equitable society.",,,,,,,,,,,,,,,,,,,0065-2407,,978-0-12-820086-5,,,,2020,59,,,,,,195,245,,10.1016/bs.acdb.2020.05.007,http://dx.doi.org/10.1016/bs.acdb.2020.05.007,,,,,,,,32564794,,,,,WOS:000609245800008,View Full Record in Web of Science
J,"Roberts, SO; Ho, AK; Kteily, N; Gelman, SA",,,,"Roberts, Steven O.; Ho, Arnold K.; Kteily, Nour; Gelman, Susan A.",,,Beyond Black and White: Conceptualizing and Essentializing Black-White Identity,CULTURAL DIVERSITY & ETHNIC MINORITY PSYCHOLOGY,,,,,,,,,,,,"Objective: Psychological research suggests that Black-White individuals are often conceptualized as Black and White, and that essentialist beliefs about race are negatively associated with conceptualizing Black-White individuals as such. The present research examined what people think it means to be Black and White (e.g., a mixture of Black and White vs. completely Black and completely White) and whether essentialism is indeed negatively associated with such concepts. Method: We used multiple methodologies (e.g., surveys, open-ended explanations, experimental manipulations) to examine how Black, White, and Black-White perceivers conceptualized Black-White individuals (Studies 1-3) and the extent to which essentialist beliefs, both dispositional (Studies 2-3) and experimentally induced (Study 4), predicted those concepts. Results: We find that U.S. Black-White individuals most often conceptualized Black and White to mean a mixture of Black and White (Study 1), as did U.S. White individuals and U.S. Black individuals (Studies 2 and 3), and that racial essentialism-both dispositional (Studies 2 and 3) and experimentally manipulated (Study 4)-was positively associated with this conception. Conclusion: Our data shed new light on the complexity of race concepts and essentialism and advance the psychological understanding of Black-White identity. Public Significance Statement It has been suggested that in the U.S., Black-White individuals are commonly conceptualized as Black and White and that racial essentialism is negatively associated with this concept. Our research suggests that Black-White individuals are commonly conceptualized in a way that goes beyond the notion that they are simply Black and White (i.e., Black-White participants, Black participants, and White participants commonly conceptualize Black-White individuals as mixtures of Black and White), and that this conception is positively associated with essentialism (i.e., Black-White individuals are fixed between Blackness and Whiteness). Implications for Black-White identity and social cognition are discussed.",,,,,,"Roberts, Steven/0000-0001-5337-870X; Gelman, Susan/0000-0003-1005-2691",,,,,,,,,,,,,1099-9809,1939-0106,,,,JAN,2022,28,1,,,,,13,28,,10.1037/cdp0000490,http://dx.doi.org/10.1037/cdp0000490,,JUL 2021,,,,,,34323513,,,,,WOS:000733126400001,View Full Record in Web of Science
S,"Heiphetz, L",,"Rhodes, M",,"Heiphetz, Larisa",,,The development and consequences of moral essentialism,DEVELOPMENT OF SOCIAL ESSENTIALISM,Advances in Child Development and Behavior,,,,,,,,,,,"Children report that many natural kinds, social groups, and psychological characteristics arise from an innate, internal essence that is rooted in biology and remains stable over time. These perceptions persist into adulthood, albeit often in weakened form. This chapter argues that in addition to the domains previously examined in the essentialism literature, children-and to some extent adults-also view moral characteristics in essentialist terms. This form of essentialism has important social consequences, including in the area of prosocial behavior and in the legal domain. The body of evidence reviewed here suggests that children's and adults' moral judgments depend not just on what people do but also on perceptions of who those people are, i.e., whether they are people of good or bad moral character.",,,,,,,,,,,,,,,,,,,0065-2407,,978-0-12-820086-5,,,,2020,59,,,,,,165,194,,10.1016/bs.acdb.2020.05.006,http://dx.doi.org/10.1016/bs.acdb.2020.05.006,,,,,,,,32564793,,,,,WOS:000609245800007,View Full Record in Web of Science
S,"Rhodes, M; Moty, K",,"Rhodes, M",,"Rhodes, Marjorie; Moty, Kelsey",,,What is social essentialism and how does it develop?,DEVELOPMENT OF SOCIAL ESSENTIALISM,Advances in Child Development and Behavior,,,,,,,,,,,"Social essentialism consists of the commonly held belief that certain ways of categorizing people (e.g., gender and race) reflect meaningful, fundamental distinctions found in nature-that some kind of category essence (e.g., something in their blood or their DNA) explains why groups of people (such as boys and girls) are different from one another. Yet as common as they are, essentialist beliefs can give rise to adverse consequences, including stereotyping and social prejudice. In this chapter, we examine the development of social essentialism. To begin, we briefly address the evidence that these beliefs are the result of developmental processes that unfold beginning in early childhood (and not something innate that children are born with). Then, we consider the nature of those processes; specifically, how basic processes underlying conceptual development give rise to different components of essentialist beliefs. We then address how different essentialist beliefs might be integrated into a coherent essentialist view of a category, and finally into a coherent essentialist view of a domain.",,,,,,,,,,,,,,,,,,,0065-2407,,978-0-12-820086-5,,,,2020,59,,,,,,1,30,,10.1016/bs.acdb.2020.05.001,http://dx.doi.org/10.1016/bs.acdb.2020.05.001,,,,,,,,32564791,,,,,WOS:000609245800002,View Full Record in Web of Science
J,"Rudman, LA; Saud, LH",,,,"Rudman, Laurie A.; Saud, Lina H.",,,Justifying Social Inequalities: The Role of Social Darwinism,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,,,,,,,,,,,,"Three studies supported a model whereby associations between ideologies that share roots in biological determinism and outcomes that reinforce inequality (based on gender, race, or class) were mediated by system justification beliefs (SJB). Outcomes included support for Donald Trump over Hillary Clinton as president (Study 1), justifying police brutality (Study 2), and support for a White House budget that slashed the social safety net to endow the wealthy with tax cuts (Study 3). These findings provoke a vital question: How do people deem unequal systems worthy of defense? Each study compared social Darwinism, social dominance orientation (SDO), and biological essentialism. We expected social Darwinism to account for the most variance in SJB because it provides both the rationale for social hierarchies (natural selection) and defends them as required for human welfare. This prediction was supported in each study. Implications for the psychology of legitimacy are discussed.",,,,,,,,,,,,,,,,,,,0146-1672,1552-7433,,,,JUL,2020,46,7,,,,,1139,1155,1.46167E+14,10.1177/0146167219896924,http://dx.doi.org/10.1177/0146167219896924,,JAN 2020,,,,,,31904300,,,,,WOS:000507196600001,View Full Record in Web of Science
